Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDE24,OUT019,372.9140625
FDC60,OUT045,1510.9140625
FDL36,OUT013,1470.9140625
FDZ48,OUT035,1829.9140625
FDR12,OUT035,2790.9140625
FDX23,OUT049,1622.9140625
FDT60,OUT027,3438.9140625
FDS12,OUT046,2074.9140625
FDP12,OUT013,694.9140625
FDU48,OUT027,3534.9140625
FDB12,OUT045,1729.9140625
FDQ60,OUT046,2008.9140625
FDR60,OUT045,1272.9140625
FDI36,OUT017,3272.9140625
FDJ36,OUT013,1686.9140625
FDZ60,OUT046,1770.9140625
FDX48,OUT013,2512.9140625
FDZ12,OUT027,3710.9140625
FDU36,OUT017,1694.9140625
FDX60,OUT049,1360.9140625
FDJ12,OUT027,4802.9140625
FDD48,OUT027,3312.9140625
FDO48,OUT010,1650.9140625
FDL24,OUT046,2858.9140625
FDD36,OUT013,1934.9140625
FDP48,OUT010,1046.9140625
FDX12,OUT049,3919.9140625
FDE36,OUT046,2732.9140625
FDZ36,OUT049,3028.9140625
FDA11,OUT049,1598.9140625
FDN48,OUT010,-401.0859375
FDQ12,OUT013,3668.9140625
FDO36,OUT018,2594.9140625
FDA35,OUT018,1736.9140625
FDZ59,OUT035,2750.9140625
FDQ36,OUT013,641.9140625
FDF24,OUT046,1420.9140625
FDA11,OUT013,1569.9140625
FDQ12,OUT017,3730.9140625
FDP36,OUT046,902.9140625
FDA48,OUT027,4934.9140625
FDJ12,OUT018,3058.9140625
FDY12,OUT035,930.9140625
FDH12,OUT027,3160.9140625
FDA47,OUT035,2649.9140625
FDT36,OUT049,616.9140625
FDQ48,OUT049,1677.9140625
FDC60,OUT027,2893.9140625
FDZ47,OUT018,1341.9140625
FDY36,OUT035,1269.9140625
FDG60,OUT045,3716.9140625
FDM60,OUT019,-1184.0859375
FDT12,OUT035,3628.9140625
FDL12,OUT045,1031.9140625
FDY59,OUT017,1636.9140625
FDW23,OUT027,2094.9140625
FDX12,OUT017,3956.9140625
FDQ60,OUT035,2001.9140625
FDQ60,OUT027,3370.9140625
FDW24,OUT018,561.9140625
FDF12,OUT035,2404.9140625
FDM12,OUT045,3064.9140625
FDK48,OUT013,1276.9140625
FDV12,OUT010,-282.0859375
FDH24,OUT013,2535.9140625
FDX24,OUT049,1563.9140625
FDT48,OUT045,3193.9140625
FDR24,OUT046,1556.9140625
FDW60,OUT035,2888.9140625
FDG60,OUT010,1764.9140625
FDJ12,OUT035,3375.9140625
FDX12,OUT013,3860.9140625
FDV48,OUT035,1348.9140625
FDI36,OUT049,3225.9140625
FDD36,OUT045,1912.9140625
FDR12,OUT010,848.9140625
FDY60,OUT018,2037.9140625
FDT60,OUT013,1973.9140625
FDV36,OUT019,92.9140625
FDC37,OUT010,-157.0859375
FDJ60,OUT027,4126.9140625
FDE36,OUT010,724.9140625
FDV12,OUT027,3101.9140625
FDW12,OUT018,2107.9140625
FDK36,OUT045,838.9140625
FDW60,OUT046,2945.9140625
FDN24,OUT035,901.9140625
FDQ60,OUT017,2112.9140625
FDT36,OUT017,692.9140625
FDZ36,OUT019,1100.9140625
FDM24,OUT010,530.9140625
FDI48,OUT045,896.9140625
FDS24,OUT017,1601.9140625
FDQ48,OUT045,1660.9140625
FDV36,OUT013,2056.9140625
FDK48,OUT010,-667.0859375
FDR48,OUT046,2471.9140625
FDX11,OUT027,4356.9140625
FDK48,OUT018,932.9140625
FDY11,OUT045,1148.9140625
FDR12,OUT046,2822.9140625
FDG60,OUT018,3450.9140625
FDO12,OUT027,4530.9140625
FDC37,OUT046,1770.9140625
FDU60,OUT027,4140.9140625
FDX36,OUT027,5020.9140625
FDJ36,OUT018,1368.9140625
FDA23,OUT018,1362.9140625
FDS60,OUT017,2964.9140625
FDE24,OUT013,2262.9140625
FDR36,OUT027,2202.9140625
FDV60,OUT046,3205.9140625
FDH60,OUT018,2838.9140625
FDH24,OUT027,3963.9140625
FDY11,OUT035,1200.9140625
FDO60,OUT049,796.9140625
FDL36,OUT046,1534.9140625
FDB37,OUT018,3551.9140625
FDQ24,OUT046,3998.9140625
FDI12,OUT035,1468.9140625
FDI12,OUT018,1190.9140625
FDC37,OUT018,1434.9140625
FDQ12,OUT018,3342.9140625
FDB36,OUT049,2160.9140625
FDC48,OUT013,1354.9140625
FDX48,OUT046,2558.9140625
FDU48,OUT046,2173.9140625
FDR48,OUT019,480.9140625
FDN12,OUT049,1808.9140625
FDD36,OUT046,1954.9140625
FDB12,OUT027,3112.9140625
FDM36,OUT018,2496.9140625
FDP36,OUT049,916.9140625
FDO24,OUT017,2596.9140625
FDC37,OUT035,1778.9140625
FDA36,OUT046,3002.9140625
FDD48,OUT013,1872.9140625
FDL24,OUT017,2922.9140625
FDA48,OUT035,3520.9140625
FDU60,OUT049,2763.9140625
FDX36,OUT035,3626.9140625
FDF24,OUT045,1366.9140625
FDO48,OUT027,4975.9140625
FDI24,OUT049,2874.9140625
FDI48,OUT018,649.9140625
FDU48,OUT013,2112.9140625
FDV12,OUT045,1619.9140625
FDZ23,OUT019,1059.9140625
FDZ47,OUT019,-241.0859375
FDD48,OUT035,1884.9140625
FDT48,OUT035,3216.9140625
FDL12,OUT010,-881.0859375
FDI12,OUT027,2908.9140625
FDL12,OUT017,1084.9140625
FDI36,OUT013,3178.9140625
FDJ48,OUT018,3643.9140625
FDC48,OUT049,1418.9140625
FDD36,OUT017,2044.9140625
FDC37,OUT017,1821.9140625
FDB60,OUT019,1198.9140625
FDZ47,OUT013,1636.9140625
FDY48,OUT017,1761.9140625
FDX36,OUT010,1682.9140625
FDJ60,OUT010,760.9140625
FDO36,OUT046,2884.9140625
FDP24,OUT018,1638.9140625
FDY36,OUT010,-715.0859375
FDS60,OUT049,2926.9140625
FDM60,OUT035,763.9140625
FDZ23,OUT017,3118.9140625
FDN48,OUT046,1552.9140625
FDK60,OUT013,1638.9140625
FDS24,OUT019,-475.0859375
FDO48,OUT049,3615.9140625
FDA36,OUT049,2992.9140625
FDH48,OUT027,2822.9140625
FDU36,OUT045,1636.9140625
FDS48,OUT018,2134.9140625
FDB37,OUT045,3862.9140625
FDM12,OUT018,2738.9140625
FDE24,OUT049,2283.9140625
FDV36,OUT049,2064.9140625
FDO60,OUT045,772.9140625
FDI48,OUT019,-997.0859375
FDB49,OUT035,1707.9140625
FDX48,OUT049,2532.9140625
FDY12,OUT049,946.9140625
FDS12,OUT049,2041.9140625
FDB60,OUT046,3158.9140625
FDY60,OUT049,2378.9140625
FDP48,OUT013,2956.9140625
FDK24,OUT013,758.9140625
FDO36,OUT017,2958.9140625
FDY36,OUT018,952.9140625
FDZ48,OUT013,1827.9140625
FDJ48,OUT049,3978.9140625
FDZ12,OUT035,2299.9140625
FDY24,OUT027,2389.9140625
FDA23,OUT045,1642.9140625
FDZ12,OUT017,2408.9140625
FDO24,OUT019,645.9140625
FDF12,OUT049,2389.9140625
FDM12,OUT019,1112.9140625
FDX23,OUT027,3007.9140625
FDR24,OUT019,-412.0859375
FDZ23,OUT046,3057.9140625
FDZ60,OUT013,1745.9140625
FDS36,OUT027,3235.9140625
FDZ47,OUT045,1628.9140625
FDN12,OUT035,1798.9140625
FDU60,OUT046,2772.9140625
FDV36,OUT035,2058.9140625
FDX48,OUT045,2490.9140625
FDT24,OUT017,1362.9140625
FDT12,OUT019,1727.9140625
FDO48,OUT035,3576.9140625
FDU60,OUT013,2707.9140625
FDP36,OUT035,939.9140625
FDF24,OUT013,1405.9140625
FDW23,OUT017,765.9140625
FDQ24,OUT027,5402.9140625
FDI36,OUT045,3173.9140625
FDZ12,OUT045,2261.9140625
FDM12,OUT049,3062.9140625
FDK60,OUT027,3048.9140625
FDP36,OUT045,885.9140625
FDN48,OUT017,1632.9140625
FDA47,OUT049,2681.9140625
FDZ47,OUT010,-276.0859375
FDP48,OUT019,1060.9140625
FDK24,OUT049,817.9140625
FDX24,OUT017,1618.9140625
FDJ60,OUT018,2354.9140625
FDL12,OUT018,728.9140625
FDW36,OUT013,1751.9140625
FDC48,OUT018,1047.9140625
FDM12,OUT046,3073.9140625
FDV36,OUT046,2083.9140625
FDJ12,OUT010,1453.9140625
FDV24,OUT027,3803.9140625
FDV48,OUT045,1328.9140625
FDB12,OUT017,1840.9140625
FDZ59,OUT045,2699.9140625
FDY24,OUT046,972.9140625
FDA48,OUT013,3532.9140625
FDP36,OUT027,2341.9140625
FDS60,OUT010,934.9140625
FDZ60,OUT045,1716.9140625
FDZ48,OUT027,3232.9140625
FDQ60,OUT013,2003.9140625
FDA35,OUT045,1982.9140625
FDP24,OUT035,1948.9140625
FDG12,OUT013,1979.9140625
FDT60,OUT049,2062.9140625
FDW48,OUT046,1348.9140625
FDB49,OUT013,1658.9140625
FDS12,OUT045,1993.9140625
FDC60,OUT013,1512.9140625
FDD48,OUT049,1904.9140625
FDD48,OUT017,1958.9140625
FDX60,OUT035,1300.9140625
FDW36,OUT045,1732.9140625
FDV24,OUT035,2422.9140625
FDL36,OUT035,1468.9140625
FDB37,OUT017,3928.9140625
FDI36,OUT027,4600.9140625
FDB60,OUT027,4514.9140625
FDI48,OUT027,2352.9140625
FDU48,OUT019,186.9140625
FDH48,OUT035,1418.9140625
FDM12,OUT027,4495.9140625
FDE36,OUT013,2682.9140625
FDN48,OUT049,1523.9140625
FDA48,OUT017,3596.9140625
FDQ60,OUT049,2014.9140625
FDK48,OUT035,1242.9140625
FDH24,OUT045,2515.9140625
FDG60,OUT017,3794.9140625
FDM36,OUT045,2797.9140625
FDO12,OUT045,3098.9140625
FDK36,OUT018,546.9140625
FDB49,OUT027,3087.9140625
FDQ12,OUT049,3686.9140625
FDI24,OUT018,2552.9140625
FDK60,OUT045,1628.9140625
FDY36,OUT013,1237.9140625
FDM24,OUT013,2491.9140625
FDK36,OUT010,-1083.0859375
FDR36,OUT018,493.9140625
FDV36,OUT018,1744.9140625
FDJ12,OUT046,3374.9140625
FDO36,OUT010,931.9140625
FDS48,OUT049,2426.9140625
FDV12,OUT019,-315.0859375
FDH60,OUT035,3164.9140625
FDN24,OUT018,604.9140625
FDV48,OUT046,1396.9140625
FDN60,OUT013,2546.9140625
FDA35,OUT013,1992.9140625
FDH12,OUT046,1776.9140625
FDY11,OUT027,2541.9140625
FDY12,OUT027,2304.9140625
FDS36,OUT018,1559.9140625
FDX48,OUT035,2509.9140625
FDH12,OUT010,-225.0859375
FDL12,OUT049,1072.9140625
FDC60,OUT035,1532.9140625
FDN24,OUT013,883.9140625
FDW60,OUT017,2954.9140625
FDX24,OUT010,-411.0859375
FDM60,OUT027,2158.9140625
FDT12,OUT049,3638.9140625
FDI60,OUT017,1234.9140625
FDJ36,OUT046,1754.9140625
FDP48,OUT035,2970.9140625
FDY48,OUT027,3114.9140625
FDO24,OUT018,2233.9140625
FDN48,OUT013,1472.9140625
FDE24,OUT046,2312.9140625
FDQ24,OUT035,4006.9140625
FDC48,OUT045,1342.9140625
FDA47,OUT019,682.9140625
FDM60,OUT045,752.9140625
FDQ36,OUT027,2122.9140625
FDL48,OUT045,872.9140625
FDI36,OUT035,3187.9140625
FDZ36,OUT010,1090.9140625
FDH60,OUT013,3170.9140625
FDI60,OUT035,1136.9140625
FDK36,OUT049,890.9140625
FDU12,OUT017,4302.9140625
FDK24,OUT017,892.9140625
FDI24,OUT046,2848.9140625
FDY48,OUT049,1704.9140625
FDX12,OUT027,5319.9140625
FDI48,OUT046,926.9140625
FDX11,OUT017,3040.9140625
FDA36,OUT035,2968.9140625
FDI36,OUT010,1220.9140625
FDH48,OUT046,1457.9140625
FDV12,OUT046,1702.9140625
FDO36,OUT045,2842.9140625
FDC37,OUT045,1738.9140625
FDH24,OUT019,632.9140625
FDX23,OUT045,1536.9140625
FDD48,OUT046,1888.9140625
FDU48,OUT049,2134.9140625
FDC60,OUT018,1186.9140625
FDX24,OUT018,1250.9140625
FDT36,OUT019,-1317.0859375
FDZ59,OUT017,2829.9140625
FDO48,OUT017,3672.9140625
FDA35,OUT035,2062.9140625
FDT60,OUT035,2019.9140625
FDH12,OUT018,1416.9140625
FDY60,OUT035,2350.9140625
FDQ60,OUT018,1691.9140625
FDT60,OUT010,66.9140625
FDY60,OUT013,2382.9140625
FDA23,OUT010,-299.0859375
FDU24,OUT018,1278.9140625
FDM12,OUT013,3028.9140625
FDI60,OUT027,2519.9140625
FDR36,OUT049,806.9140625
FDU11,OUT049,2027.9140625
FDU59,OUT017,2747.9140625
FDP23,OUT010,1563.9140625
FDT59,OUT046,3727.9140625
FDU35,OUT018,1347.9140625
FDQ47,OUT046,719.9140625
FDS23,OUT013,2094.9140625
FDS35,OUT049,1131.9140625
FDX35,OUT018,3363.9140625
FDS59,OUT049,1862.9140625
FDY35,OUT013,817.9140625
FDY47,OUT019,239.9140625
FDN23,OUT018,2089.9140625
FDV23,OUT017,2136.9140625
FDP59,OUT017,1799.9140625
FDQ11,OUT010,2207.9140625
FDX47,OUT045,2591.9140625
FDT11,OUT019,1130.9140625
FDT59,OUT019,1759.9140625
FDV47,OUT045,1405.9140625
FDW35,OUT013,759.9140625
FDQ23,OUT046,1763.9140625
FDU23,OUT017,2801.9140625
FDV11,OUT017,2982.9140625
FDO23,OUT046,1559.9140625
FDU59,OUT035,2609.9140625
FDP59,OUT035,1741.9140625
FDO11,OUT013,4039.9140625
FDV35,OUT019,550.9140625
FDW59,OUT049,1419.9140625
FDQ59,OUT017,1533.9140625
FDV23,OUT049,2068.9140625
FDW35,OUT027,2181.9140625
FDP59,OUT013,1766.9140625
FDX35,OUT027,5081.9140625
FDO11,OUT019,2103.9140625
FDS47,OUT018,1164.9140625
FDT23,OUT027,2785.9140625
FDT47,OUT013,1649.9140625
FDR59,OUT018,3917.9140625
FDS59,OUT017,1961.9140625
FDR35,OUT017,3289.9140625
FDT11,OUT013,3074.9140625
FDV35,OUT017,2573.9140625
FDW47,OUT035,1977.9140625
FDV23,OUT013,1996.9140625
FDW11,OUT045,1067.9140625
FDU47,OUT027,3735.9140625
FDW59,OUT027,2841.9140625
FDX59,OUT017,722.9140625
FDR47,OUT013,3101.9140625
FDQ59,OUT049,1499.9140625
FDT59,OUT013,3674.9140625
FDX59,OUT049,675.9140625
FDS11,OUT045,3579.9140625
FDW11,OUT010,-872.0859375
FDV59,OUT049,3487.9140625
FDT47,OUT046,1671.9140625
FDP23,OUT019,1551.9140625
FDW11,OUT046,1073.9140625
FDS35,OUT035,1099.9140625
FDP11,OUT018,3211.9140625
FDP11,OUT049,3535.9140625
FDV59,OUT027,4901.9140625
FDR23,OUT046,2845.9140625
FDS23,OUT018,1812.9140625
FDV11,OUT018,2541.9140625
FDP23,OUT017,3576.9140625
FDW11,OUT035,1068.9140625
FDQ47,OUT019,-1314.0859375
FDQ23,OUT045,1727.9140625
FDW59,OUT018,1127.9140625
FDS47,OUT019,-506.0859375
FDU11,OUT010,41.9140625
FDR47,OUT045,3100.9140625
FDX47,OUT010,652.9140625
FDO11,OUT045,4043.9140625
FDQ23,OUT049,1708.9140625
FDV35,OUT027,3936.9140625
FDR11,OUT046,2660.9140625
FDU35,OUT049,1673.9140625
FDT35,OUT035,2767.9140625
FDW47,OUT017,2087.9140625
FDX59,OUT010,-1304.0859375
FDT35,OUT013,2701.9140625
FDP59,OUT049,1787.9140625
FDX47,OUT035,2579.9140625
FDS47,OUT010,-524.0859375
FDV35,OUT045,2467.9140625
FDR11,OUT010,644.9140625
FDT35,OUT027,4183.9140625
FDZ35,OUT013,1757.9140625
FDU47,OUT035,2291.9140625
FDT59,OUT010,1789.9140625
FDQ47,OUT049,701.9140625
FDV11,OUT013,2878.9140625
FDQ11,OUT013,4127.9140625
FDP23,OUT049,3522.9140625
FDT35,OUT045,2755.9140625
FDU59,OUT045,2616.9140625
FDO11,OUT035,4061.9140625
FDX35,OUT035,3685.9140625
FDU35,OUT035,1675.9140625
FDO11,OUT017,4117.9140625
FDX59,OUT035,663.9140625
FDR11,OUT027,4020.9140625
FDV59,OUT013,3469.9140625
FDQ11,OUT049,4139.9140625
FDQ11,OUT045,4125.9140625
FDZ35,OUT019,-160.0859375
FDR47,OUT046,3165.9140625
FDV59,OUT017,3569.9140625
FDR23,OUT035,2828.9140625
FDT11,OUT045,3079.9140625
FDQ47,OUT013,635.9140625
FDX35,OUT010,1773.9140625
FDT35,OUT046,2795.9140625
FDT47,OUT035,1656.9140625
FDU59,OUT018,2311.9140625
FDU47,OUT046,2359.9140625
FDV23,OUT046,2061.9140625
FDU47,OUT049,2308.9140625
FDU11,OUT046,1989.9140625
FDS59,OUT046,1853.9140625
FDV23,OUT010,103.9140625
FDQ11,OUT017,4251.9140625
FDV47,OUT027,2821.9140625
FDS23,OUT027,3493.9140625
FDO23,OUT049,1569.9140625
FDT23,OUT017,1439.9140625
FDY47,OUT017,2227.9140625
FDS11,OUT018,3337.9140625
FDT47,OUT010,-295.0859375
FDT11,OUT049,3068.9140625
FDT23,OUT035,1390.9140625
FDW35,OUT046,793.9140625
FDN23,OUT017,2483.9140625
FDQ59,OUT018,1157.9140625
FDS11,OUT013,3647.9140625
FDW47,OUT018,1681.9140625
FDU11,OUT019,31.9140625
FDT47,OUT017,1745.9140625
FDT47,OUT018,1389.9140625
FDO11,OUT018,3705.9140625
FDY35,OUT017,939.9140625
FDR11,OUT018,2323.9140625
FDX35,OUT049,3712.9140625
FDQ23,OUT018,1388.9140625
FDP59,OUT019,-182.0859375
FDR11,OUT017,2679.9140625
FDQ47,OUT027,2097.9140625
FDU35,OUT017,1717.9140625
FDU35,OUT013,1619.9140625
FDV47,OUT046,1414.9140625
FDR47,OUT035,3105.9140625
FDR47,OUT019,1171.9140625
FDT35,OUT049,2763.9140625
FDT35,OUT018,2467.9140625
FDV35,OUT013,2458.9140625
FDU47,OUT013,2325.9140625
FDT23,OUT010,-608.0859375
FDV11,OUT027,4293.9140625
FDW47,OUT027,3445.9140625
FDY35,OUT046,893.9140625
FDP23,OUT046,3558.9140625
FDO49,OUT018,609.9140625
FDO49,OUT013,904.9140625
FDM25,OUT046,2877.9140625
FDN13,OUT035,1631.9140625
FDQ49,OUT018,2271.9140625
FDQ49,OUT010,666.9140625
FDN49,OUT017,807.9140625
FDP37,OUT035,2059.9140625
FDK25,OUT018,2447.9140625
FDP01,OUT046,2561.9140625
FDM25,OUT045,2865.9140625
FDQ49,OUT049,2596.9140625
FDL25,OUT013,1559.9140625
FDK25,OUT046,2742.9140625
FDQ49,OUT035,2551.9140625
FDM01,OUT045,1707.9140625
FDO01,OUT019,230.9140625
FDR37,OUT019,1061.9140625
FDM13,OUT027,3584.9140625
FDQ37,OUT017,3208.9140625
FDO13,OUT027,4070.9140625
FDO13,OUT018,2369.9140625
FDQ49,OUT045,2562.9140625
FDM13,OUT046,2180.9140625
FDP01,OUT013,2505.9140625
FDM13,OUT045,2137.9140625
FDL13,OUT027,5181.9140625
FDO49,OUT035,972.9140625
FDQ37,OUT019,1189.9140625
FDN01,OUT017,2925.9140625
FDP49,OUT017,1091.9140625
FDL25,OUT027,2987.9140625
FDL25,OUT045,1563.9140625
FDP37,OUT049,2123.9140625
FDL25,OUT046,1579.9140625
FDN49,OUT027,2171.9140625
FDM25,OUT019,949.9140625
FDN13,OUT027,3065.9140625
FDK25,OUT013,2739.9140625
FDP01,OUT027,3917.9140625
FDN25,OUT045,981.9140625
FDR37,OUT018,2685.9140625
FDO01,OUT017,2252.9140625
FDO01,OUT035,2140.9140625
FDN25,OUT046,1087.9140625
FDN49,OUT045,747.9140625
FDN13,OUT018,1328.9140625
FDN25,OUT017,1097.9140625
FDP37,OUT027,3467.9140625
FDM01,OUT049,1757.9140625
FDM13,OUT049,2199.9140625
FDO49,OUT017,1051.9140625
FDN01,OUT013,2813.9140625
FDN49,OUT013,761.9140625
FDP37,OUT010,103.9140625
FDL13,OUT035,3759.9140625
FDO37,OUT046,3715.9140625
FDM25,OUT049,2901.9140625
FDP37,OUT046,2083.9140625
FDP49,OUT035,1040.9140625
FDP01,OUT049,2557.9140625
FDP01,OUT045,2506.9140625
FDQ37,OUT049,3129.9140625
FDO13,OUT046,2669.9140625
FDQ37,OUT045,3063.9140625
FDN01,OUT035,2859.9140625
FDL13,OUT046,3813.9140625
FDQ37,OUT018,2803.9140625
FDR37,OUT017,3039.9140625
FDL25,OUT035,1561.9140625
FDP01,OUT018,2222.9140625
FDN25,OUT027,2429.9140625
FDO01,OUT010,202.9140625
FDO13,OUT035,2699.9140625
FDO01,OUT013,2156.9140625
FDO49,OUT045,894.9140625
FDS49,OUT027,2786.9140625
FDC26,OUT013,1848.9140625
FDG02,OUT049,3102.9140625
FDR49,OUT045,816.9140625
FDZ25,OUT017,2894.9140625
FDX13,OUT019,2057.9140625
FDO38,OUT010,-627.0859375
FDM14,OUT018,1546.9140625
FDM14,OUT013,1808.9140625
FDC50,OUT019,-373.0859375
FDK26,OUT010,1157.9140625
FDF50,OUT018,2908.9140625
FDI50,OUT019,1778.9140625
FDL26,OUT045,2530.9140625
FDI02,OUT027,3313.9140625
FDB14,OUT017,1678.9140625
FDL26,OUT046,2548.9140625
FDS01,OUT035,2922.9140625
FDE02,OUT035,1608.9140625
FDY13,OUT046,1322.9140625
FDU01,OUT049,3079.9140625
FDY01,OUT046,1962.9140625
FDG14,OUT049,2548.9140625
FDV49,OUT017,4338.9140625
FDR13,OUT017,2077.9140625
FDZ37,OUT035,1535.9140625
FDY25,OUT035,2960.9140625
FDT13,OUT045,3034.9140625
FDO50,OUT045,1522.9140625
FDT13,OUT018,2748.9140625
FDD14,OUT027,4383.9140625
FDY49,OUT018,2457.9140625
FDD14,OUT046,2977.9140625
FDU37,OUT019,-543.0859375
FDL14,OUT045,2571.9140625
FDE38,OUT035,2756.9140625
FDR13,OUT045,1946.9140625
FDB50,OUT019,-621.0859375
FDK50,OUT019,739.9140625
FDE38,OUT049,2768.9140625
FDS37,OUT046,1974.9140625
FDB14,OUT049,1623.9140625
FDW25,OUT018,1144.9140625
FDC14,OUT045,776.9140625
FDV25,OUT046,3605.9140625
FDV25,OUT017,3681.9140625
FDB02,OUT017,2999.9140625
FDZ01,OUT019,-147.0859375
FDH50,OUT049,3064.9140625
FDN02,OUT018,3014.9140625
FDY25,OUT045,2960.9140625
FDJ50,OUT027,2359.9140625
FDY01,OUT045,1921.9140625
FDE02,OUT018,1255.9140625
FDK38,OUT046,2451.9140625
FDI50,OUT017,3848.9140625
FDX13,OUT035,4050.9140625
FDU01,OUT018,2742.9140625
FDK50,OUT049,2696.9140625
FDA25,OUT027,3203.9140625
FDI02,OUT049,1916.9140625
FDF14,OUT013,2478.9140625
FDJ50,OUT046,1004.9140625
FDS01,OUT013,2920.9140625
FDL38,OUT017,1626.9140625
FDG02,OUT045,3096.9140625
FDJ38,OUT045,3112.9140625
FDK38,OUT019,499.9140625
FDB50,OUT035,1335.9140625
FDB38,OUT010,747.9140625
FDC26,OUT027,3234.9140625
FDE14,OUT027,3162.9140625
FDY37,OUT049,2393.9140625
FDD38,OUT018,1458.9140625
FDL14,OUT027,3982.9140625
FDL26,OUT035,2530.9140625
FDF38,OUT045,782.9140625
FDM38,OUT027,2418.9140625
FDA37,OUT045,2071.9140625
FDH26,OUT017,2434.9140625
FDA49,OUT018,1158.9140625
FDG14,OUT035,2540.9140625
FDY37,OUT017,2454.9140625
FDV01,OUT013,2547.9140625
FDG50,OUT027,2946.9140625
FDF38,OUT049,800.9140625
FDQ25,OUT013,2816.9140625
FDT01,OUT010,1496.9140625
FDY01,OUT017,2045.9140625
FDA25,OUT013,1738.9140625
FDT01,OUT035,3477.9140625
FDS01,OUT010,1000.9140625
FDP13,OUT045,735.9140625
FDV13,OUT045,1524.9140625
FDF14,OUT027,3910.9140625
FDZ37,OUT017,1638.9140625
FDF50,OUT046,3238.9140625
FDL14,OUT018,2326.9140625
FDX13,OUT010,2063.9140625
FDX13,OUT049,4035.9140625
FDV37,OUT018,2948.9140625
FDL02,OUT035,1784.9140625
FDO25,OUT045,3394.9140625
FDN50,OUT045,1632.9140625
FDP13,OUT010,-1169.0859375
FDW37,OUT018,1208.9140625
FDF02,OUT046,1756.9140625
FDT13,OUT013,3034.9140625
FDA49,OUT045,1450.9140625
FDF38,OUT027,2194.9140625
FDJ50,OUT010,-973.0859375
FDM14,OUT017,1918.9140625
FDJ26,OUT010,1564.9140625
FDU01,OUT035,3038.9140625
FDO50,OUT035,1550.9140625
FDE50,OUT017,3158.9140625
FDD02,OUT019,7.9140625
FDF26,OUT049,2561.9140625
FDV25,OUT035,3601.9140625
FDT49,OUT010,-186.0859375
FDR13,OUT027,3398.9140625
FDN38,OUT049,4058.9140625
FDE26,OUT018,2058.9140625
FDF26,OUT013,2544.9140625
FDE38,OUT045,2701.9140625
FDD14,OUT017,3040.9140625
FDP38,OUT018,623.9140625
FDZ13,OUT049,978.9140625
FDZ37,OUT018,1240.9140625
FDJ14,OUT045,1411.9140625
FDJ38,OUT019,1186.9140625
FDN38,OUT010,2112.9140625
FDW01,OUT018,2182.9140625
FDL02,OUT045,1763.9140625
FDR01,OUT046,3296.9140625
FDQ01,OUT013,4114.9140625
FDN38,OUT017,4161.9140625
FDE02,OUT010,-355.0859375
FDF02,OUT027,3132.9140625
FDE14,OUT017,1780.9140625
